"adult","budget","genres","homepage","imdb_id","keywords","movie_id","original_language","overview","popularity","popularity_category","poster_url","production_companies","profit","release_date","release_year","revenue","roi","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"False","120000000","Action, Science Fiction, Adventure","https://venom.movie","tt16366836","hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, amused, indifferent","912649","en","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","79.8572","Low","https://image.tmdb.org/t/p/w500/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions","358103649","2024-10-22","2024","478103649","2.984197075","109","English","Released","'Til death do they part.","Venom: The Last Dance","6.8","3116"
"False","0","Action, Comedy","","tt28630624","assistant, zoo, panda, superstar, rescue operation, international superstar","1160956","zh","International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.","61.6404","Low","https://image.tmdb.org/t/p/w500/hbO8MVrDuT8YxqeJD6DMxcamY9N.jpg","Emei Film Studio, Mandarin Motion Pictures, Maoyan Entertainment, Wishart Media","42333207","2024-10-01","2024","42333207","inf","99","العربية, 普通话, English","Released","","Panda Plan","7.0","169"
"False","0","Romance, Drama","","tt31723358","spain, based on novel or book, woman director, erotic romance","1252309","es","After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.","285.2062","Medium","https://image.tmdb.org/t/p/w500/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg","Versus Entertainment, LyO Media, Warner Bros. Entertainment España, 4 Cats Pictures","0","2024-11-29","2024","0","0","0","Español","Released","","Ask Me What You Want","5.681","119"
"False","0","Action, Drama","","tt32887283","","1261050","da","In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.","194.842","Medium","https://image.tmdb.org/t/p/w500/7NLY1jNwtZX1yVzwVoBeAhaBE8i.jpg","Zentropa Entertainments, Film i Väst, Zentropa International Sweden, Kazak Productions, Zentropa International France","0","2024-10-31","2024","0","0","110","English, Dansk, svenska","Released","The largest heist in Danish history.","The Quiet Ones","4.828","29"
"False","0","Action, War","","tt32044730","","1373723","en","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","201.8803","Medium","https://image.tmdb.org/t/p/w500/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg","","0","2025-03-20","2025","0","0","92","English","Released","","The Codes of War","5.988","41"
"False","40000000","Action, Crime, Thriller","https://www.amazon.com/salp/aworkingman?hhf","tt9150192","based on novel or book, kidnapping, vigilante, missing person, black ops, construction worker, criminal conspiracy","1197306","en","Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","250.6428","Medium","https://image.tmdb.org/t/p/w500/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5","4417000","2025-03-26","2025","44417000","0.110425","116","English, Pусский, Español","Released","Human traffickers beware.","A Working Man","6.5","155"
"False","0","Thriller, Science Fiction","","tt27949946","","1165067","en","Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.","190.3923","Medium","https://image.tmdb.org/t/p/w500/mClzWv7gBqgXfjZXp49Enyoex1v.jpg","Hewes Pictures","0","2023-08-03","2023","0","0","0","English","Released","In space... there is only chaos.","Cosmic Chaos","5.711","38"
"False","118000000","Science Fiction, Comedy, Adventure","https://www.mickey17movie.com","tt12299608","based on novel or book, dark comedy, space travel, space colony, alien planet, creature, space adventure, human cloning, spaceship, space sci-fi, black comedy, perjalanan luar angkasa, fiksi ilmiah","696506","en","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","243.092","Medium","https://image.tmdb.org/t/p/w500/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg","Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment","4908117","2025-02-28","2025","122908117","0.04159421186440678","137","English","Released","He's dying to save mankind.","Mickey 17","7.0","1284"
"False","0","Horror, Thriller","https://epic-pictures.com/film/ghost-game","tt29341577","haunted house, descent into madness, home invasion, thrill seeker, independent film, social media challenge","1249385","en","As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.","157.2878","Medium","https://image.tmdb.org/t/p/w500/kxxWBEn7qTN2xumSferCHbDudcT.jpg","Epic Pictures Group","0","2024-10-18","2024","0","0","86","English","Released","Evil lives here.","Ghost Game","3.474","19"
"False","0","Horror","","tt13657394","night shift, mexico city, mexico, hospital, ghost, based on myths, legends or folklore, nurses, ghost nurse, cine mexicano","1208808","es","A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.","164.5031","Medium","https://image.tmdb.org/t/p/w500/iSSx9Bys64vlOkvkyKXtp19P7Re.jpg","Sony Pictures International Productions, EFICINE 189","0","2024-10-31","2024","0","0","107","Español","Released","You won't be able to cure this evil.","Turno nocturno","6.482","55"
"False","0","Horror","","tt15173952","vengeful ghost, family tragedy, haunted","1282980","en","After a family tragedy, Chuck Wilson hopes to start a new life in Ashland Falls with his wife Maria and little sister Elizabeth, but he quickly discovers that the town has a dark history of being haunted by a ghostly woman who drives residents to suicide.","136.459","Medium","https://image.tmdb.org/t/p/w500/ohESp5Nw49OD4ExCeNYCEIGX2iq.jpg","Cognetti Films, Epic Level Entertainment, Marlyous' Boys","0","2025-04-04","2025","0","0","101","English","Released","","825 Forest Road","6.333","12"
"False","1100000","Action, Crime, Thriller","https://hellhoundthemovie.com/","tt22489042","","1217379","en","Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.","92.39","Low","https://image.tmdb.org/t/p/w500/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg","","-1100000","2024-06-20","2024","0","-1.0","103","English","Released","Fight like a god. Die like a man.","Hellhound","6.338","40"
"False","0","Horror, Thriller, Drama","","tt22234810","","1190462","en","1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.","114.86","Medium","https://image.tmdb.org/t/p/w500/yy2dmnBlPhx21GUMUJUPxA9QUFp.jpg","Kaapland Films","0","2023-10-18","2023","0","0","105","English","Released","","Breathing In","5.0","12"
"False","0","Action, Crime","","tt30287778","sequel, police chase","995926","ko","The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.","74.2444","Low","https://image.tmdb.org/t/p/w500/gAtP0usArK5gVOBObnsENKLwML8.jpg","Filmmaker R&K, CJ Entertainment","53453611","2024-09-13","2024","53453611","inf","118","한국어/조선말","Released","Don't cross the line.","I, the Executioner","6.9","50"
"False","0","Animation, Adventure, Comedy, Family, Fantasy","https://www.netflix.com/title/81221337","tt32560777","based on cartoon, based on tv series, 3d animation, hilarious, indifferent","1104845","en","Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.","77.4168","Low","https://image.tmdb.org/t/p/w500/hGaUNLF5VZbg9ovPTyjm9Rv5xWz.jpg","Nickelodeon Movies","0","2025-03-08","2025","0","0","83","English","Released","They needed a hero. They got a villain.","Plankton: The Movie","7.014","73"
"False","0","Horror","","tt32195076","matter of fact","1301650","mn","In a remote corner of the world, a group of troubled youths finds themselves whisked away to a mysterious military base after a series of misbehaviors. Expecting little more than a stern reprimand, they are instead thrust into a world of secrets and shadows.  In a desperate bid for freedom, they must unravel the mysteries of the base and confront the sinister forces that lurk in the shadows. But with time running out and danger lurking around every corner, the odds of survival grow slimmer by the minute.  Courage, strength, and sacrifice, would they finally escape the clutches of the base and emerge from the darkness into the light?","71.3003","Low","https://image.tmdb.org/t/p/w500/s6kFtdxfTC4xR8yDGbIjTgGEcFI.jpg","","0","2025-02-07","2025","0","0","83","","Released","","Z Zone","6.733","15"
"False","0","Animation, History, Action, Drama, Fantasy, Romance","http://peacemakerk.jp/","tt9881872","","483456","ja","Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge leads him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind, and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group.","73.4865","Low","https://image.tmdb.org/t/p/w500/wbyIM5s7ZgwOmXycjBttBhhXtTq.jpg","White Fox, Frontier Works, KADOKAWA, Hakuhodo DY Music & Pictures, Bandai Namco Arts, AT-X, Sony Music Communications, Adores, Contents Seed, GYAO","0","2018-06-02","2018","0","0","109","日本語","Released","","Peacemaker Kurogane: Belief","5.167","3"
"False","0","Comedy, Music","https://www.netflix.com/title/81691348","tt35434840","intelligence agency, dj, artistic rivalry, based on short","1265623","fr","When cops recruit a has-been DJ to bust a quirky criminal gang with ties to his rival, he spots a chance to mix his way back to the top with a banger.","66.3122","Low","https://image.tmdb.org/t/p/w500/2QAgOQWcdQLnbki5V2Sjn1tcnHS.jpg","Iconoclast","0","2025-04-01","2025","0","0","90","Français","Released","","Banger","4.308","26"
"False","18000000","Action, Comedy, Thriller","https://www.novocainemovie.com","tt29603959","pain, dark comedy, bank robbery, held hostage, comedy thriller, comedy, action, super hero, one-person film, car chase","1195506","en","When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","73.9419","Low","https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix","14254000","2025-03-12","2025","32254000","0.7918888888888889","109","English","Released","Nathan Caine can't feel pain.","Novocaine","7.0","199"
"False","118000000","Science Fiction, Comedy, Adventure","https://www.mickey17movie.com","tt12299608","based on novel or book, dark comedy, space travel, space colony, alien planet, creature, space adventure, human cloning, spaceship, space sci-fi, black comedy, perjalanan luar angkasa, fiksi ilmiah","696506","en","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","241.9858","Medium","https://image.tmdb.org/t/p/w500/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg","Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment","4908117","2025-02-28","2025","122908117","0.04159421186440678","137","English","Released","He's dying to save mankind.","Mickey 17","6.955","1334"
"False","18000000","Action, Comedy, Thriller","https://www.novocainemovie.com","tt29603959","pain, dark comedy, bank robbery, held hostage, comedy thriller, comedy, action, super hero, one-person film, car chase","1195506","en","When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","235.1646","Medium","https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix","14254000","2025-03-12","2025","32254000","0.7918888888888889","110","English","Released","Nathan Caine can't feel pain.","Novocaine","6.955","220"
"False","0","Action, Thriller","","tt13652286","mercenary, fight or flight","1212855","en","A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.","197.3977","Medium","https://image.tmdb.org/t/p/w500/x4nWnfgJvL045rcUCSJzfgIIY9i.jpg","The Royal Budapest Film Company, Asbury Park Pictures, Thunder Road, F or F Films, Liam Jay Films","0","2025-04-03","2025","0","0","102","English","Released","This flight goes nonstop to hell.","Fight or Flight","4.63","27"
"False","150000000","Animation, Adventure, Family, Comedy","https://movies.disney.com/moana-2","tt13622970","sea, ocean, villain, musical, sequel, duringcreditsstinger","1241982","en","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","176.3743","Medium","https://image.tmdb.org/t/p/w500/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg","Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios","909544057","2024-11-21","2024","1059544057","6.063627046666666","99","English","Released","The ocean is calling them back.","Moana 2","7.08","2175"
"False","200000000","Adventure, Family, Animation","https://movies.disney.com/mufasa-the-lion-king","tt13186482","friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, lost, awestruck","762509","en","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","164.3445","Medium","https://image.tmdb.org/t/p/w500/lurEK87kukWNaHd0zYnsi3yzJrs.jpg","Walt Disney Pictures","521046090","2024-12-18","2024","721046090","2.60523045","118","English","Released","The story of an orphan who would be king.","Mufasa: The Lion King","7.415","1910"
"False","0","Fantasy, Horror","","tt28087226","princess, revenge, dark fairy tale","1140847","en","Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.","142.5559","Medium","https://image.tmdb.org/t/p/w500/cYB3SHhITJSbRoisgn9QQTP8YkZ.jpg","Sobini Films, Titan Global Entertainment, EMRJ Entertainment","0","2024-04-26","2024","0","0","85","Español, English","Released","This ain't no fairy tale","Cinderella's Revenge","4.333","15"
"False","25000000","Action, Crime, Thriller","https://justwatch.pro/movie/1126166/flight-risk","tt10078772","airplane, pilot, flight, airplane accident","1126166","en","A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.","112.0742","Medium","https://image.tmdb.org/t/p/w500/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies","15420193","2025-01-22","2025","40420193","0.61680772","91","English","Released","Y'all need a pilot?","Flight Risk","6.104","603"
"False","0","Horror, Thriller, Drama","","tt22234810","","1190462","en","1901, South Africa. As the Second Anglo-Boer War rages on, a wounded General seeks refuge in the small home of a woman and her young daughter. As the hurt man settles in, he begins noticing that something is off about the two women, particularly the daughter, and before long, he’ll learn the real reason for why they’ve invited him and for how they’ve survived on their own for so long.","112.3796","Medium","https://image.tmdb.org/t/p/w500/yy2dmnBlPhx21GUMUJUPxA9QUFp.jpg","Kaapland Films","0","2023-10-18","2023","0","0","105","English","Released","","Breathing In","5.0","12"
"False","0","Romance, Comedy, Drama","https://www.netflix.com/title/81246107","tt2172954","bucket list, inspirational, lighthearted","1254786","en","When her mother sends her on a quest to complete a teenage bucket list, a young woman uncovers family secrets, finds romance — and rediscovers herself.","103.3923","Medium","https://image.tmdb.org/t/p/w500/5fg98cVo7da7OIK45csdLSd4NaU.jpg","3dot Productions","0","2025-03-27","2025","0","0","123","English","Released","For everyone who's still figuring it out.","The Life List","6.859","213"
"False","0","Action, Comedy","https://theavenue.film/movies/old-guy","tt26442053","mentor protégé relationship, contract killer, gen z","1077782","en","Stuck at a dead end but vying for the love of spunky club manager Anata, aging contract killer Danny Dolinski is thrilled when The Company pulls him back in the field, but only to train Gen Z newcomer Wihlborg, a prodigy assassin with an attitude.","78.3558","Low","https://image.tmdb.org/t/p/w500/qx0NV9VEZTXN5c1qruhyHclMauY.jpg","23ten, Source Management + Production, Aperture Media Partners, Pfaff & Pfaff Productions, LB Entertainment, Wee Buns Films, Northern Ireland Screen, Highland Film Group, Yellow Moon, Dark Castle Entertainment","0","2024-12-13","2024","0","0","93","English","Released","Competition is always a killer.","Old Guy","5.635","74"
"False","10000000","Horror, Mystery, Thriller","https://a24films.com/films/opus","tt29929565","pop star, cult, psychological thriller, cult of celebrity, mysterious disappearance","1202479","en","A young writer is invited to the remote compound of a legendary pop star who mysteriously disappeared thirty years ago. Surrounded by the star's cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.","70.4611","Low","https://image.tmdb.org/t/p/w500/eAslhx6gKKD6c1vVY6YV9DSG5lb.jpg","A24, Makeready, MACRO","-7816461","2025-03-13","2025","2183539","-0.7816461","104","English","Released","A once-in-a-lifetime experience.","Opus","5.336","58"
"False","0","Action, Horror","","tt23648404","wrestling, cult, backwoods, cult leader, pro wrestling, rural","1062276","en","A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.","75.5938","Low","https://image.tmdb.org/t/p/w500/6E6fBED3ix7FmrWUWZdeYG4vqK8.jpg","Dept.9 Studios","0","2024-07-21","2024","0","0","94","English","Released","","Dark Match","4.818","11"
"False","21000000","Action, Drama, Adventure, War","","tt27118357","based on novel or book, affectation, based on true story, martyr, indian army, counterterrorism, loving, 2010s, indian history, admiring, hopeful, based on real person, ashoka chakra, indian military","927342","ta","A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.","75.3763","Low","https://image.tmdb.org/t/p/w500/eCB06m1KUGilEOlIzb40nkQhVY0.jpg","Raajkamal Films International, Sony Pictures International Productions","-21000000","2024-10-31","2024","0","-1.0","169","தமிழ்","Released","","Amaran","7.351","211"
"False","310000000","Action, Adventure, Drama","https://www.gladiator.movie","tt9218128","epic, gladiator, roman empire, ancient rome, sequel, evil tyrant, absurd, sword and sandal, sword fighting, second part, arrogant","558449","en","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","68.074","Low","https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg","Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions","148718000","2024-11-13","2024","458718000","0.47973548387096776","148","English","Released","Prepare to be entertained.","Gladiator II","6.754","3154"
"False","0","Action, Adventure","https://www.amazon.com/gp/video/detail/B0DCYJL1GN","tt35683795","","1229730","fr","By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","435.5444","Medium","https://image.tmdb.org/t/p/w500/1bhIezUxvLM9r66yIf1i6EDVJ6R.jpg","Gaumont","0","2025-03-27","2025","0","0","97","Français","Released","","Carjackers","7.026","39"
"False","180000000","Action, Thriller, Science Fiction","https://www.marvel.com/movies/captain-america-brave-new-world","tt14513804","hero, superhero, revenge, aftercreditsstinger, marvel cinematic universe (mcu), sidekick, assassination attempt, political thriller, treaty, international relations","822119","en","After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","348.3977","Medium","https://image.tmdb.org/t/p/w500/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg","Marvel Studios, Kevin Feige Productions","229278201","2025-02-12","2025","409278201","1.2737677833333334","119","English, 日本語, Español","Released","The future favors the brave.","Captain America: Brave New World","6.119","1188"
"False","40000000","Action, Crime, Thriller","https://www.amazon.com/salp/aworkingman?hhf","tt9150192","based on novel or book, kidnapping, vigilante, missing person, black ops, construction worker, criminal conspiracy","1197306","en","Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","356.5597","Medium","https://image.tmdb.org/t/p/w500/bkbmInoAnEaMH4oxpXAXWwKr8Kd.jpg","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5","-6607752","2025-03-26","2025","33392248","-0.1651938","116","English, Pусский, Español","Released","Human traffickers beware.","A Working Man","6.9","93"
